date,code,side,price,shares,amount,fee,reason
2025-08-11,000572,BUY,4.65465,21400,99609.51000000001,29.882853,signal
2025-08-11,000633,BUY,6.636629999999999,15000,99549.45,29.864834999999996,signal
2025-08-11,000530,BUY,6.49649,15300,99396.29699999999,29.818889099999996,signal
2025-08-12,000659,SELL,3.08691,33000,101868.03,132.428439,hold_days
2025-08-12,000547,SELL,9.118990880999998,12000,109427.89057199997,142.25625774359997,take_profit
2025-08-12,000070,BUY,9.38938,10600,99527.42799999999,29.858228399999994,signal
2025-08-12,000659,BUY,3.0930899999999997,32300,99906.80699999999,29.972042099999992,signal
2025-08-13,000561,SELL,11.538988461,9500,109620.39037950001,142.50650749335,take_profit
2025-08-13,000036,BUY,3.9639599999999997,25200,99891.79199999999,29.967537599999993,signal
2025-08-14,000566,SELL,6.17382,15600,96311.592,125.2050696,hold_days
2025-08-14,000603,SELL,15.993990000000002,6200,99162.73800000001,128.91155940000002,hold_days
2025-08-14,000533,SELL,7.5924,13300,100978.92,131.272596,hold_days
2025-08-14,000536,SELL,4.844995154999999,19500,94477.40552249999,122.82062717924998,stop_loss
2025-08-14,000070,SELL,10.317989681999999,10600,109370.69062919999,142.18189781796,take_profit
2025-08-14,000536,BUY,5.065059999999999,19700,99781.68199999999,29.934504599999993,signal
2025-08-14,000603,BUY,16.02601,6200,99361.262,29.808378599999998,signal
2025-08-14,000546,BUY,5.375369999999999,18600,99981.88199999998,29.994564599999993,signal
2025-08-14,000426,BUY,19.88987,5000,99449.34999999999,29.834804999999996,signal
2025-08-14,000411,BUY,11.511499999999998,8600,98998.89999999998,29.69966999999999,signal
2025-08-15,000659,SELL,2.9354970645,32300,94816.55518334999,123.26152173835499,stop_loss
2025-08-15,000536,SELL,4.806995192999999,19700,94697.80530209998,123.10714689272997,stop_loss
2025-08-15,000534,BUY,16.36635,6100,99834.735,29.950420499999996,signal
2025-08-15,000536,BUY,4.82482,20700,99873.774,29.9621322,signal
2025-08-18,000572,SELL,4.50549,21400,96417.486,125.3427318,hold_days
2025-08-18,000633,SELL,6.70329,15000,100549.35,130.714155,hold_days
2025-08-18,000530,SELL,6.63336,15300,101490.408,131.93753039999999,hold_days
2025-08-18,000417,BUY,6.07607,16400,99647.548,29.894264399999997,signal
2025-08-18,000533,BUY,7.717709999999999,12900,99558.45899999999,29.867537699999993,signal
2025-08-18,000633,BUY,6.716709999999999,14800,99407.30799999999,29.822192399999995,signal
2025-08-20,000036,SELL,4.355995644,25200,109771.0902288,142.70241729744,take_profit
2025-08-20,000536,SELL,5.301994698,20700,109751.2902486,142.67667732317997,take_profit
2025-08-20,000070,BUY,10.02001,9900,99198.09899999999,29.759429699999995,signal
