top_n,hold_days,min_score,take_profit,stop_loss,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
10,3,0.35,0.03,0.03,0.07722864213608771,0.17377871379031062,-0.014473983116605416,2.8844639899589994,55.0,1077228.6421360876
3,3,0.35,0.05,0.03,0.08437045105255714,0.19060389543011724,-0.014382373053155928,2.8629490798057162,43.0,1084370.4510525572
5,3,0.35,0.05,0.03,0.08437045105255714,0.19060389543011724,-0.014382373053155928,2.8629490798057162,43.0,1084370.4510525572
10,3,0.35,0.05,0.03,0.08437045105255714,0.19060389543011724,-0.014382373053155928,2.8629490798057162,43.0,1084370.4510525572
3,3,0.35,0.03,0.02,0.07588710243541419,0.17063252758613712,-0.015702850821091796,2.847892249139474,55.0,1075887.1024354142
5,3,0.35,0.03,0.02,0.07588710243541419,0.17063252758613712,-0.015702850821091796,2.847892249139474,55.0,1075887.1024354142
10,3,0.35,0.03,0.02,0.07588710243541419,0.17063252758613712,-0.015702850821091796,2.847892249139474,55.0,1075887.1024354142
3,5,0.35,0.05,,0.08472443587888301,0.19144117546442319,-0.01329149110359551,2.8452583277943515,39.0,1084724.435878883
5,5,0.35,0.05,,0.08472443587888301,0.19144117546442319,-0.01329149110359551,2.8452583277943515,39.0,1084724.435878883
10,5,0.35,0.05,,0.08472443587888301,0.19144117546442319,-0.01329149110359551,2.8452583277943515,39.0,1084724.435878883
3,2,0.35,0.03,0.03,0.07331050366355751,0.16460256001414275,-0.015644719435873644,2.8452438252438954,55.0,1073310.5036635576
5,2,0.35,0.03,0.03,0.07331050366355751,0.16460256001414275,-0.015644719435873644,2.8452438252438954,55.0,1073310.5036635576
10,2,0.35,0.03,0.03,0.07331050366355751,0.16460256001414275,-0.015644719435873644,2.8452438252438954,55.0,1073310.5036635576
3,2,0.35,0.03,0.02,0.0730357153597041,0.1639604622869668,-0.015896790424506313,2.8413145241803965,55.0,1073035.715359704
5,2,0.35,0.03,0.02,0.0730357153597041,0.1639604622869668,-0.015896790424506313,2.8413145241803965,55.0,1073035.715359704
10,2,0.35,0.03,0.02,0.0730357153597041,0.1639604622869668,-0.015896790424506313,2.8413145241803965,55.0,1073035.715359704
3,3,0.35,0.05,0.02,0.08299720701638336,0.1873587465335831,-0.015632103472100867,2.827570685702341,43.0,1082997.2070163833
5,3,0.35,0.05,0.02,0.08299720701638336,0.1873587465335831,-0.015632103472100867,2.827570685702341,43.0,1082997.2070163833
10,3,0.35,0.05,0.02,0.08299720701638336,0.1873587465335831,-0.015632103472100867,2.827570685702341,43.0,1082997.2070163833
3,5,0.55,0.03,,0.07398783754055183,0.16618609597821932,-0.017035723030822347,2.8205043077393808,40.0,1073987.8375405518
3,5,0.55,0.03,0.03,0.07398783754055183,0.16618609597821932,-0.017035723030822347,2.8205043077393808,40.0,1073987.8375405518
5,5,0.55,0.03,,0.07398783754055183,0.16618609597821932,-0.017035723030822347,2.8205043077393808,40.0,1073987.8375405518
5,5,0.55,0.03,0.03,0.07398783754055183,0.16618609597821932,-0.017035723030822347,2.8205043077393808,40.0,1073987.8375405518
